"Pro","Wm82","Wm82Gene.V2.1"
"Glyma.01G000600.2.p","Glyma.01G000600.2.p","Glyma.01G000600"
"Glyma.01G001300.1.p","Glyma.01G001300.1.p","Glyma.01G001300"
"Glyma.01G002200.1.p","Glyma.01G002200.1.p","Glyma.01G002200"
"Glyma.01G002400.1.p","Glyma.01G002400.1.p","Glyma.01G002400"
"Glyma.01G002600.1.p","Glyma.01G002600.1.p","Glyma.01G002600"
"Glyma.01G002700.1.p","Glyma.01G002700.1.p","Glyma.01G002700"
"Glyma.01G003600.1.p","Glyma.01G003600.1.p","Glyma.01G003600"
"Glyma.01G003800.1.p","Glyma.01G003800.1.p","Glyma.01G003800"
"Glyma.01G004700.1.p","Glyma.01G004700.1.p","Glyma.01G004700"
"Glyma.01G005200.1.p","Glyma.01G005200.1.p","Glyma.01G005200"
"Glyma.01G005400.1.p","Glyma.01G005400.1.p","Glyma.01G005400"
"Glyma.01G005600.1.p","Glyma.01G005600.1.p","Glyma.01G005600"
"Glyma.01G006100.1.p","Glyma.01G006100.1.p","Glyma.01G006100"
"Glyma.01G006400.1.p","Glyma.01G006400.1.p","Glyma.01G006400"
"Glyma.01G006500.1.p","Glyma.01G006500.1.p","Glyma.01G006500"
"Glyma.01G006700.1.p","Glyma.01G006700.1.p","Glyma.01G006700"
"Glyma.01G006900.1.p","Glyma.01G006900.1.p","Glyma.01G006900"
"Glyma.01G007500.1.p","Glyma.01G007500.1.p","Glyma.01G007500"
"Glyma.01G007700.1.p","Glyma.01G007700.1.p","Glyma.01G007700"
"Glyma.01G007800.1.p","Glyma.01G007800.1.p","Glyma.01G007800"
"Glyma.01G008000.1.p","Glyma.01G008000.1.p","Glyma.01G008000"
"Glyma.01G008500.1.p","Glyma.01G008500.1.p","Glyma.01G008500"
"Glyma.01G008600.1.p","Glyma.01G008600.1.p","Glyma.01G008600"
"Glyma.01G008800.1.p","Glyma.01G008800.1.p","Glyma.01G008800"
"Glyma.01G008900.2.p","Glyma.01G008900.2.p","Glyma.01G008900"
"Glyma.01G009200.1.p","Glyma.01G009200.1.p","Glyma.01G009200"
"Glyma.01G009300.1.p","Glyma.01G009300.1.p","Glyma.01G009300"
"Glyma.01G009700.1.p","Glyma.01G009700.1.p","Glyma.01G009700"
"Glyma.01G009900.1.p","Glyma.01G009900.1.p","Glyma.01G009900"
"Glyma.01G010200.1.p","Glyma.01G010200.1.p","Glyma.01G010200"
"Glyma.01G010300.1.p","Glyma.01G010300.1.p","Glyma.01G010300"
"Glyma.01G010400.1.p","Glyma.01G010400.1.p","Glyma.01G010400"
"Glyma.01G010500.1.p","Glyma.01G010500.1.p","Glyma.01G010500"
"Glyma.01G010600.1.p","Glyma.01G010600.1.p","Glyma.01G010600"
"Glyma.01G010900.1.p","Glyma.01G010900.1.p","Glyma.01G010900"
"Glyma.01G011100.1.p","Glyma.01G011100.1.p","Glyma.01G011100"
"Glyma.01G012100.1.p","Glyma.01G012100.1.p","Glyma.01G012100"
"Glyma.01G012400.1.p","Glyma.01G012400.1.p","Glyma.01G012400"
"Glyma.01G012500.1.p","Glyma.01G012500.1.p","Glyma.01G012500"
"Glyma.01G013100.1.p","Glyma.01G013100.1.p","Glyma.01G013100"
"Glyma.01G013500.1.p","Glyma.01G013500.1.p","Glyma.01G013500"
"Glyma.01G013600.1.p","Glyma.01G013600.1.p","Glyma.01G013600"
"Glyma.01G014200.1.p","Glyma.01G014200.1.p","Glyma.01G014200"
"Glyma.01G014400.1.p","Glyma.01G014400.1.p","Glyma.01G014400"
"Glyma.01G014900.1.p","Glyma.01G014900.1.p","Glyma.01G014900"
"Glyma.01G015100.1.p","Glyma.01G015100.1.p","Glyma.01G015100"
"Glyma.01G015500.1.p","Glyma.01G015500.1.p","Glyma.01G015500"
"Glyma.01G015900.1.p","Glyma.01G015900.1.p","Glyma.01G015900"
"Glyma.01G016500.1.p","Glyma.01G016500.1.p","Glyma.01G016500"
"Glyma.01G016800.1.p","Glyma.01G016800.1.p","Glyma.01G016800"
"Glyma.01G017100.1.p","Glyma.01G017100.1.p","Glyma.01G017100"
"Glyma.01G017700.1.p","Glyma.01G017700.1.p","Glyma.01G017700"
"Glyma.01G017900.1.p","Glyma.01G017900.1.p","Glyma.01G017900"
"Glyma.01G018000.1.p","Glyma.01G018000.1.p","Glyma.01G018000"
"Glyma.01G018400.1.p","Glyma.01G018400.1.p","Glyma.01G018400"
"Glyma.01G018800.1.p","Glyma.01G018800.1.p","Glyma.01G018800"
"Glyma.01G019000.1.p","Glyma.01G019000.1.p","Glyma.01G019000"
"Glyma.01G019100.1.p","Glyma.01G019100.1.p","Glyma.01G019100"
"Glyma.01G019200.1.p","Glyma.01G019200.1.p","Glyma.01G019200"
"Glyma.01G019900.1.p","Glyma.01G019900.1.p","Glyma.01G019900"
"Glyma.01G020900.1.p","Glyma.01G020900.1.p","Glyma.01G020900"
"Glyma.01G021000.1.p","Glyma.01G021000.1.p","Glyma.01G021000"
"Glyma.01G021400.1.p","Glyma.01G021400.1.p","Glyma.01G021400"
"Glyma.01G021600.1.p","Glyma.01G021600.1.p","Glyma.01G021600"
"Glyma.01G022900.1.p","Glyma.01G022900.1.p","Glyma.01G022900"
"Glyma.01G024000.1.p","Glyma.01G024000.1.p","Glyma.01G024000"
"Glyma.01G024600.1.p","Glyma.01G024600.1.p","Glyma.01G024600"
"Glyma.01G025000.1.p","Glyma.01G025000.1.p","Glyma.01G025000"
"Glyma.01G025200.1.p","Glyma.01G025200.1.p","Glyma.01G025200"
"Glyma.01G025500.1.p","Glyma.01G025500.1.p","Glyma.01G025500"
"Glyma.01G025600.1.p","Glyma.01G025600.1.p","Glyma.01G025600"
"Glyma.01G026000.1.p","Glyma.01G026000.1.p","Glyma.01G026000"
"Glyma.01G026100.1.p","Glyma.01G026100.1.p","Glyma.01G026100"
"Glyma.01G026200.1.p","Glyma.01G026200.1.p","Glyma.01G026200"
"Glyma.01G026400.1.p","Glyma.01G026400.1.p","Glyma.01G026400"
"Glyma.01G026800.1.p","Glyma.01G026800.1.p","Glyma.01G026800"
"Glyma.01G028100.1.p","Glyma.01G028100.1.p","Glyma.01G028100"
"Glyma.01G028200.1.p","Glyma.01G028200.1.p","Glyma.01G028200"
"Glyma.01G028900.1.p","Glyma.01G028900.1.p","Glyma.01G028900"
"Glyma.01G029000.1.p","Glyma.01G029000.1.p","Glyma.01G029000"
"Glyma.01G029600.1.p","Glyma.01G029600.1.p","Glyma.01G029600"
"Glyma.01G030500.2.p","Glyma.01G030500.2.p","Glyma.01G030500"
"Glyma.01G030800.1.p","Glyma.01G030800.1.p","Glyma.01G030800"
"Glyma.01G031100.1.p","Glyma.01G031100.1.p","Glyma.01G031100"
"Glyma.01G031400.1.p","Glyma.01G031400.1.p","Glyma.01G031400"
"Glyma.01G031500.1.p","Glyma.01G031500.1.p","Glyma.01G031500"
"Glyma.01G031700.1.p","Glyma.01G031700.1.p","Glyma.01G031700"
"Glyma.01G031900.1.p","Glyma.01G031900.1.p","Glyma.01G031900"
"Glyma.01G032000.1.p","Glyma.01G032000.1.p","Glyma.01G032000"
"Glyma.01G032100.1.p","Glyma.01G032100.1.p","Glyma.01G032100"
"Glyma.01G032300.1.p","Glyma.01G032300.1.p","Glyma.01G032300"
"Glyma.01G032500.1.p","Glyma.01G032500.1.p","Glyma.01G032500"
"Glyma.01G032600.1.p","Glyma.01G032600.1.p","Glyma.01G032600"
"Glyma.01G033300.1.p","Glyma.01G033300.1.p","Glyma.01G033300"
"Glyma.01G034900.1.p","Glyma.01G034900.1.p","Glyma.01G034900"
"Glyma.01G035700.1.p","Glyma.01G035700.1.p","Glyma.01G035700"
"Glyma.01G036000.1.p","Glyma.01G036000.1.p","Glyma.01G036000"
"Glyma.01G036200.1.p","Glyma.01G036200.1.p","Glyma.01G036200"
"Glyma.01G036500.1.p","Glyma.01G036500.1.p","Glyma.01G036500"
"Glyma.01G036700.1.p","Glyma.01G036700.1.p","Glyma.01G036700"
"Glyma.01G036900.1.p","Glyma.01G036900.1.p","Glyma.01G036900"
"Glyma.01G037200.1.p","Glyma.01G037200.1.p","Glyma.01G037200"
"Glyma.01G037300.1.p","Glyma.01G037300.1.p","Glyma.01G037300"
"Glyma.01G037700.1.p","Glyma.01G037700.1.p","Glyma.01G037700"
"Glyma.01G037800.1.p","Glyma.01G037800.1.p","Glyma.01G037800"
"Glyma.01G038100.1.p","Glyma.01G038100.1.p","Glyma.01G038100"
"Glyma.01G038300.1.p","Glyma.01G038300.1.p","Glyma.01G038300"
"Glyma.01G038400.1.p","Glyma.01G038400.1.p","Glyma.01G038400"
"Glyma.01G038500.1.p","Glyma.01G038500.1.p","Glyma.01G038500"
"Glyma.01G038600.1.p","Glyma.01G038600.1.p","Glyma.01G038600"
"Glyma.01G038700.1.p","Glyma.01G038700.1.p","Glyma.01G038700"
"Glyma.01G039100.1.p","Glyma.01G039100.1.p","Glyma.01G039100"
"Glyma.01G039600.1.p","Glyma.01G039600.1.p","Glyma.01G039600"
"Glyma.01G040300.1.p","Glyma.01G040300.1.p","Glyma.01G040300"
"Glyma.01G040500.1.p","Glyma.01G040500.1.p","Glyma.01G040500"
"Glyma.01G041300.1.p","Glyma.01G041300.1.p","Glyma.01G041300"
"Glyma.01G041500.1.p","Glyma.01G041500.1.p","Glyma.01G041500"
"Glyma.01G041900.1.p","Glyma.01G041900.1.p","Glyma.01G041900"
